,PassengerId,Survived,Alive
187,1079,0,No
188,1080,1,Yes
189,1081,0,No
190,1082,0,No
191,1083,0,No
192,1084,0,No
193,1085,0,No
194,1086,0,No
195,1087,0,No
196,1088,0,No
197,1089,1,Yes
198,1090,0,No
199,1091,1,Yes
200,1092,1,Yes
201,1093,0,No
202,1094,0,No
203,1095,1,Yes
204,1096,0,No
205,1097,0,No
206,1098,1,Yes
207,1099,0,No
208,1100,1,Yes
209,1101,0,No
210,1102,0,No
211,1103,0,No
212,1104,0,No
213,1105,1,Yes
214,1106,1,Yes
215,1107,0,No
216,1108,1,Yes
217,1109,0,No
218,1110,1,Yes
219,1111,0,No
220,1112,1,Yes
221,1113,0,No
222,1114,1,Yes
223,1115,0,No
224,1116,1,Yes
225,1117,1,Yes
226,1118,0,No
227,1119,1,Yes
228,1120,0,No
229,1121,0,No
230,1122,0,No
231,1123,1,Yes
232,1124,0,No
233,1125,0,No
234,1126,0,No
235,1127,0,No
236,1128,0,No
237,1129,0,No
238,1130,1,Yes
239,1131,1,Yes
240,1132,1,Yes
241,1133,1,Yes
242,1134,0,No
243,1135,0,No
244,1136,0,No
245,1137,0,No
246,1138,1,Yes
247,1139,0,No
248,1140,1,Yes
249,1141,1,Yes
250,1142,1,Yes
251,1143,0,No
252,1144,0,No
253,1145,0,No
254,1146,0,No
255,1147,0,No
256,1148,0,No
257,1149,0,No
258,1150,1,Yes
259,1151,0,No
260,1152,0,No
261,1153,0,No
262,1154,1,Yes
263,1155,1,Yes
264,1156,0,No
265,1157,0,No
266,1158,0,No
267,1159,0,No
268,1160,1,Yes
269,1161,0,No
270,1162,0,No
271,1163,0,No
272,1164,1,Yes
273,1165,1,Yes
274,1166,0,No
275,1167,1,Yes
276,1168,0,No
277,1169,0,No
278,1170,0,No
279,1171,0,No
280,1172,1,Yes
281,1173,0,No
282,1174,1,Yes
283,1175,1,Yes
284,1176,1,Yes
285,1177,0,No
286,1178,0,No
287,1179,0,No
288,1180,0,No
289,1181,0,No
290,1182,0,No
291,1183,1,Yes
292,1184,0,No
293,1185,0,No
294,1186,0,No
295,1187,0,No
296,1188,1,Yes
297,1189,0,No
298,1190,0,No
299,1191,0,No
300,1192,0,No
301,1193,0,No
302,1194,0,No
303,1195,0,No
304,1196,1,Yes
305,1197,1,Yes
306,1198,0,No
307,1199,0,No
308,1200,0,No
309,1201,1,Yes
310,1202,0,No
311,1203,0,No
312,1204,0,No
313,1205,1,Yes
314,1206,1,Yes
315,1207,1,Yes
316,1208,0,No
317,1209,0,No
318,1210,0,No
319,1211,0,No
320,1212,0,No
321,1213,0,No
322,1214,0,No
323,1215,0,No
324,1216,1,Yes
325,1217,0,No
326,1218,1,Yes
327,1219,0,No
328,1220,0,No
329,1221,0,No
330,1222,1,Yes
331,1223,0,No
332,1224,0,No
333,1225,1,Yes
334,1226,0,No
335,1227,0,No
336,1228,0,No
337,1229,0,No
338,1230,0,No
339,1231,0,No
340,1232,0,No
341,1233,0,No
342,1234,0,No
343,1235,1,Yes
344,1236,0,No
345,1237,1,Yes
346,1238,0,No
347,1239,1,Yes
348,1240,0,No
349,1241,1,Yes
350,1242,1,Yes
351,1243,0,No
352,1244,0,No
353,1245,0,No
354,1246,1,Yes
355,1247,0,No
356,1248,1,Yes
357,1249,0,No
358,1250,0,No
359,1251,1,Yes
360,1252,0,No
361,1253,1,Yes
362,1254,1,Yes
363,1255,0,No
364,1256,1,Yes
365,1257,1,Yes
366,1258,0,No
367,1259,1,Yes
368,1260,1,Yes
369,1261,0,No
370,1262,0,No
371,1263,1,Yes
372,1264,0,No
373,1265,0,No
374,1266,1,Yes
375,1267,1,Yes
376,1268,1,Yes
377,1269,0,No
378,1270,0,No
379,1271,0,No
380,1272,0,No
381,1273,0,No
382,1274,1,Yes
383,1275,1,Yes
384,1276,0,No
385,1277,1,Yes
386,1278,0,No
387,1279,0,No
388,1280,0,No
389,1281,0,No
390,1282,0,No
391,1283,1,Yes
392,1284,0,No
393,1285,0,No
394,1286,0,No
395,1287,1,Yes
396,1288,0,No
397,1289,1,Yes
398,1290,0,No
399,1291,0,No
400,1292,1,Yes
401,1293,0,No
402,1294,1,Yes
403,1295,0,No
404,1296,0,No
405,1297,0,No
406,1298,0,No
407,1299,0,No
408,1300,1,Yes
409,1301,1,Yes
410,1302,1,Yes
411,1303,1,Yes
412,1304,1,Yes
413,1305,0,No
414,1306,1,Yes
415,1307,0,No
416,1308,0,No
417,1309,0,No
